# H3a SIBYLL21 mag0 total nue
# energy [GeV] 0.0 deg  10.0 deg  20.0 deg  30.0 deg  40.0 deg  50.0 deg  60.0 deg  70.0 deg  80.0 deg  89.0 deg
8.91250938e-02 9.73199817e-02 9.76961021e-02 9.87998945e-02 1.00575902e-01 1.02993946e-01 1.05914422e-01 1.09108981e-01 1.12293125e-01 1.15199972e-01 1.17063458e-01
1.12201845e-01 7.82130135e-02 7.85351194e-02 7.94804923e-02 8.10022171e-02 8.30771209e-02 8.55834917e-02 8.83143603e-02 9.09953243e-02 9.33418467e-02 9.47832157e-02
1.41253754e-01 6.09313107e-02 6.12015984e-02 6.19952451e-02 6.32742403e-02 6.50230811e-02 6.71402510e-02 6.94452760e-02 7.16832507e-02 7.35627702e-02 7.46633486e-02
1.77827941e-01 4.59860299e-02 4.62076376e-02 4.68588325e-02 4.79101846e-02 4.93535057e-02 5.11078738e-02 5.30216174e-02 5.48651361e-02 5.63468301e-02 5.71616853e-02
2.23872114e-01 3.36781434e-02 3.38556289e-02 3.43777377e-02 3.52228468e-02 3.63891277e-02 3.78153303e-02 3.93788915e-02 4.08789322e-02 4.20278784e-02 4.26025625e-02
2.81838293e-01 2.40343885e-02 2.41736140e-02 2.45838306e-02 2.52502382e-02 2.61762316e-02 2.73186324e-02 2.85832563e-02 2.98006237e-02 3.06923713e-02 3.10793237e-02
3.54813389e-01 1.67998351e-02 1.69071599e-02 1.72241225e-02 1.77416593e-02 1.84672283e-02 1.93736951e-02 2.03938275e-02 2.13920955e-02 2.21081320e-02 2.23693837e-02
4.46683592e-01 1.15254726e-02 1.16067441e-02 1.18475126e-02 1.22432434e-02 1.28041675e-02 1.35165623e-02 1.43375392e-02 1.51667490e-02 1.57732684e-02 1.59664676e-02
5.62341325e-01 7.73962840e-03 7.79974335e-03 7.97849510e-03 8.27457190e-03 8.69951398e-03 9.24969762e-03 9.90236364e-03 1.05905729e-02 1.11228080e-02 1.12856692e-02
7.07945784e-01 5.06271272e-03 5.10582991e-03 5.23455512e-03 5.44955033e-03 5.76224985e-03 6.17557644e-03 6.68159609e-03 7.24185905e-03 7.70935331e-03 7.85884006e-03
