1.0000E-01 0.95 2.0124E+03
1.1220E-01 0.95 1.8186E+03
1.2589E-01 0.95 1.6302E+03
1.4125E-01 0.95 1.4466E+03
1.5849E-01 0.95 1.2703E+03
1.7783E-01 0.95 1.1062E+03
1.9953E-01 0.95 9.5141E+02
2.2387E-01 0.95 8.1096E+02
2.5119E-01 0.95 6.8537E+02
2.8184E-01 0.95 5.7214E+02
3.1623E-01 0.95 4.7180E+02
3.5481E-01 0.95 3.8582E+02
3.9811E-01 0.95 3.1331E+02
4.4668E-01 0.95 2.5196E+02
5.0119E-01 0.95 2.0035E+02
5.6234E-01 0.95 1.5769E+02
6.3096E-01 0.95 1.2308E+02
7.0795E-01 0.95 9.5400E+01
7.9433E-01 0.95 7.3448E+01
8.9125E-01 0.95 5.5757E+01
1.0000E+00 0.95 4.1980E+01
1.1220E+00 0.95 3.1375E+01
1.2589E+00 0.95 2.3268E+01
1.4125E+00 0.95 1.7124E+01
1.5849E+00 0.95 1.2498E+01
1.7783E+00 0.95 9.0375E+00
1.9953E+00 0.95 6.4897E+00
2.2387E+00 0.95 4.6232E+00
2.5119E+00 0.95 3.2539E+00
2.8184E+00 0.95 2.2742E+00
3.1623E+00 0.95 1.5930E+00
3.5481E+00 0.95 1.1025E+00
3.9811E+00 0.95 7.5438E-01
4.4668E+00 0.95 5.1483E-01
5.0119E+00 0.95 3.5080E-01
5.6234E+00 0.95 2.3865E-01
6.3096E+00 0.95 1.6223E-01
7.0795E+00 0.95 1.0955E-01
7.9433E+00 0.95 7.3463E-02
8.9125E+00 0.95 4.9128E-02
1.0000E+01 0.95 3.2838E-02
1.1220E+01 0.95 2.1959E-02
1.2589E+01 0.95 1.4677E-02
1.4125E+01 0.95 9.7945E-03
1.5849E+01 0.95 6.5464E-03
1.7783E+01 0.95 4.3589E-03
1.9953E+01 0.95 2.9304E-03
2.2387E+01 0.95 1.9761E-03
2.5119E+01 0.95 1.3146E-03
2.8184E+01 0.95 8.8388E-04
3.1623E+01 0.95 5.8761E-04
3.5481E+01 0.95 3.9478E-04
3.9811E+01 0.95 2.6522E-04
4.4668E+01 0.95 1.7888E-04
5.0119E+01 0.95 1.2077E-04
5.6234E+01 0.95 8.1215E-05
6.3096E+01 0.95 5.4709E-05
7.0795E+01 0.95 3.6817E-05
7.9433E+01 0.95 2.4985E-05
8.9125E+01 0.95 1.7026E-05
1.0000E+02 0.95 1.1504E-05
1.1220E+02 0.95 7.7651E-06
1.2589E+02 0.95 5.2752E-06
1.4125E+02 0.95 3.5736E-06
1.5849E+02 0.95 2.4192E-06
1.7783E+02 0.95 1.6443E-06
1.9953E+02 0.95 1.1107E-06
2.2387E+02 0.95 7.4867E-07
2.5119E+02 0.95 5.0765E-07
2.8184E+02 0.95 3.4189E-07
3.1623E+02 0.95 2.2855E-07
3.5481E+02 0.95 1.5421E-07
3.9811E+02 0.95 1.0472E-07
4.4668E+02 0.95 7.0393E-08
5.0119E+02 0.95 4.7276E-08
5.6234E+02 0.95 3.1493E-08
6.3096E+02 0.95 2.0915E-08
7.0795E+02 0.95 1.3961E-08
7.9433E+02 0.95 9.3709E-09
8.9125E+02 0.95 6.2024E-09
1.0000E+03 0.95 4.1311E-09
1.1220E+03 0.95 2.7204E-09
1.2589E+03 0.95 1.7934E-09
1.4125E+03 0.95 1.1882E-09
1.5849E+03 0.95 7.8774E-10
1.7783E+03 0.95 5.2784E-10
1.9953E+03 0.95 3.4431E-10
2.2387E+03 0.95 2.2939E-10
2.5119E+03 0.95 1.4914E-10
2.8184E+03 0.95 9.7251E-11
3.1623E+03 0.95 6.3559E-11
3.5481E+03 0.95 4.1839E-11
3.9811E+03 0.95 2.7073E-11
4.4668E+03 0.95 1.7897E-11
5.0119E+03 0.95 1.2280E-11
5.6234E+03 0.95 8.1655E-12
6.3096E+03 0.95 5.0000E-12
7.0795E+03 0.95 3.2115E-12
7.9433E+03 0.95 2.0895E-12
