1.0000E-01 0.95 15.0 2.0300E+03
1.1220E-01 0.95 15.0 1.8427E+03
1.2589E-01 0.95 15.0 1.6480E+03
1.4125E-01 0.95 15.0 1.4884E+03
1.5849E-01 0.95 15.0 1.3209E+03
1.7783E-01 0.95 15.0 1.1562E+03
1.9953E-01 0.95 15.0 1.0084E+03
2.2387E-01 0.95 15.0 8.6426E+02
2.5119E-01 0.95 15.0 7.3448E+02
2.8184E-01 0.95 15.0 6.2147E+02
3.1623E-01 0.95 15.0 5.2038E+02
3.5481E-01 0.95 15.0 4.3051E+02
3.9811E-01 0.95 15.0 3.5216E+02
4.4668E-01 0.95 15.0 2.8513E+02
5.0119E-01 0.95 15.0 2.2898E+02
5.6234E-01 0.95 15.0 1.8196E+02
6.3096E-01 0.95 15.0 1.4312E+02
7.0795E-01 0.95 15.0 1.1136E+02
7.9433E-01 0.95 15.0 8.6382E+01
8.9125E-01 0.95 15.0 6.6885E+01
1.0000E+00 0.95 15.0 5.1218E+01
1.1220E+00 0.95 15.0 3.8317E+01
1.2589E+00 0.95 15.0 2.8520E+01
1.4125E+00 0.95 15.0 2.1296E+01
1.5849E+00 0.95 15.0 1.5623E+01
1.7783E+00 0.95 15.0 1.1540E+01
1.9953E+00 0.95 15.0 8.4404E+00
2.2387E+00 0.95 15.0 6.0144E+00
2.5119E+00 0.95 15.0 4.2257E+00
2.8184E+00 0.95 15.0 2.9838E+00
3.1623E+00 0.95 15.0 2.1010E+00
3.5481E+00 0.95 15.0 1.4545E+00
3.9811E+00 0.95 15.0 1.0040E+00
4.4668E+00 0.95 15.0 6.8687E-01
5.0119E+00 0.95 15.0 4.6523E-01
5.6234E+00 0.95 15.0 3.1407E-01
6.3096E+00 0.95 15.0 2.1206E-01
7.0795E+00 0.95 15.0 1.4491E-01
7.9433E+00 0.95 15.0 9.9601E-02
8.9125E+00 0.95 15.0 6.6313E-02
1.0000E+01 0.95 15.0 4.3196E-02
1.1220E+01 0.95 15.0 2.9132E-02
1.2589E+01 0.95 15.0 1.9354E-02
1.4125E+01 0.95 15.0 1.2753E-02
1.5849E+01 0.95 15.0 8.5430E-03
1.7783E+01 0.95 15.0 5.4976E-03
1.9953E+01 0.95 15.0 3.6843E-03
2.2387E+01 0.95 15.0 2.6430E-03
2.5119E+01 0.95 15.0 1.7334E-03
2.8184E+01 0.95 15.0 1.1554E-03
3.1623E+01 0.95 15.0 7.4786E-04
3.5481E+01 0.95 15.0 5.0141E-04
3.9811E+01 0.95 15.0 3.3238E-04
4.4668E+01 0.95 15.0 2.2123E-04
5.0119E+01 0.95 15.0 1.4948E-04
5.6234E+01 0.95 15.0 1.0061E-04
6.3096E+01 0.95 15.0 6.8902E-05
7.0795E+01 0.95 15.0 4.6426E-05
7.9433E+01 0.95 15.0 3.0832E-05
8.9125E+01 0.95 15.0 2.0675E-05
1.0000E+02 0.95 15.0 1.3878E-05
1.1220E+02 0.95 15.0 9.6207E-06
1.2589E+02 0.95 15.0 6.6376E-06
1.4125E+02 0.95 15.0 4.4073E-06
1.5849E+02 0.95 15.0 2.9912E-06
1.7783E+02 0.95 15.0 2.0793E-06
1.9953E+02 0.95 15.0 1.3913E-06
2.2387E+02 0.95 15.0 9.1325E-07
2.5119E+02 0.95 15.0 6.3167E-07
2.8184E+02 0.95 15.0 4.2015E-07
3.1623E+02 0.95 15.0 2.8987E-07
3.5481E+02 0.95 15.0 1.9747E-07
3.9811E+02 0.95 15.0 1.3297E-07
4.4668E+02 0.95 15.0 8.8832E-08
5.0119E+02 0.95 15.0 5.8445E-08
5.6234E+02 0.95 15.0 4.0509E-08
6.3096E+02 0.95 15.0 2.7502E-08
7.0795E+02 0.95 15.0 1.8855E-08
7.9433E+02 0.95 15.0 1.2692E-08
8.9125E+02 0.95 15.0 8.0878E-09
1.0000E+03 0.95 15.0 5.4646E-09
1.1220E+03 0.95 15.0 3.5633E-09
1.2589E+03 0.95 15.0 2.3509E-09
1.4125E+03 0.95 15.0 1.5849E-09
1.5849E+03 0.95 15.0 1.0879E-09
1.7783E+03 0.95 15.0 6.8767E-10
1.9953E+03 0.95 15.0 4.3112E-10
2.2387E+03 0.95 15.0 2.9450E-10
2.5119E+03 0.95 15.0 2.0862E-10
2.8184E+03 0.95 15.0 1.4442E-10
3.1623E+03 0.95 15.0 9.2578E-11
3.5481E+03 0.95 15.0 5.9599E-11
3.9811E+03 0.95 15.0 3.7958E-11
4.4668E+03 0.95 15.0 2.4451E-11
5.0119E+03 0.95 15.0 1.7162E-11
5.6234E+03 0.95 15.0 1.0738E-11
6.3096E+03 0.95 15.0 7.1595E-12
7.0795E+03 0.95 15.0 4.7285E-12
7.9433E+03 0.95 15.0 2.8793E-12
8.9125E+03 0.95 15.0 1.8825E-12
1.0000E+04 0.95 15.0 1.2641E-12
1.0000E-01 0.95 45.0 1.9292E+03
1.1220E-01 0.95 45.0 1.7467E+03
1.2589E-01 0.95 45.0 1.5766E+03
1.4125E-01 0.95 45.0 1.4125E+03
1.5849E-01 0.95 45.0 1.2452E+03
1.7783E-01 0.95 45.0 1.0855E+03
1.9953E-01 0.95 45.0 9.4364E+02
2.2387E-01 0.95 45.0 8.1551E+02
2.5119E-01 0.95 45.0 6.9583E+02
2.8184E-01 0.95 45.0 5.8326E+02
3.1623E-01 0.95 45.0 4.8738E+02
3.5481E-01 0.95 45.0 4.0605E+02
3.9811E-01 0.95 45.0 3.3050E+02
4.4668E-01 0.95 45.0 2.6656E+02
5.0119E-01 0.95 45.0 2.1471E+02
