1.0000E-01 0.95 15.0 1.2139E+04
1.1220E-01 0.95 15.0 1.0804E+04
1.2589E-01 0.95 15.0 9.5785E+03
1.4125E-01 0.95 15.0 8.4113E+03
1.5849E-01 0.95 15.0 7.2673E+03
1.7783E-01 0.95 15.0 6.1707E+03
1.9953E-01 0.95 15.0 5.1665E+03
2.2387E-01 0.95 15.0 4.2732E+03
2.5119E-01 0.95 15.0 3.4761E+03
2.8184E-01 0.95 15.0 2.7862E+03
3.1623E-01 0.95 15.0 2.2155E+03
3.5481E-01 0.95 15.0 1.7390E+03
3.9811E-01 0.95 15.0 1.3455E+03
4.4668E-01 0.95 15.0 1.0342E+03
5.0119E-01 0.95 15.0 7.9060E+02
5.6234E-01 0.95 15.0 5.9726E+02
6.3096E-01 0.95 15.0 4.4545E+02
7.0795E-01 0.95 15.0 3.3246E+02
7.9433E-01 0.95 15.0 2.4752E+02
8.9125E-01 0.95 15.0 1.8163E+02
1.0000E+00 0.95 15.0 1.3476E+02
1.1220E+00 0.95 15.0 9.9402E+01
1.2589E+00 0.95 15.0 7.3101E+01
1.4125E+00 0.95 15.0 5.3470E+01
1.5849E+00 0.95 15.0 3.9113E+01
1.7783E+00 0.95 15.0 2.8295E+01
1.9953E+00 0.95 15.0 2.0449E+01
2.2387E+00 0.95 15.0 1.4885E+01
2.5119E+00 0.95 15.0 1.0757E+01
2.8184E+00 0.95 15.0 7.7662E+00
3.1623E+00 0.95 15.0 5.5180E+00
3.5481E+00 0.95 15.0 3.9512E+00
3.9811E+00 0.95 15.0 2.8191E+00
4.4668E+00 0.95 15.0 2.0071E+00
5.0119E+00 0.95 15.0 1.4305E+00
5.6234E+00 0.95 15.0 1.0247E+00
6.3096E+00 0.95 15.0 7.3342E-01
7.0795E+00 0.95 15.0 5.2345E-01
7.9433E+00 0.95 15.0 3.7529E-01
8.9125E+00 0.95 15.0 2.6482E-01
1.0000E+01 0.95 15.0 1.8547E-01
1.1220E+01 0.95 15.0 1.3166E-01
1.2589E+01 0.95 15.0 9.3779E-02
1.4125E+01 0.95 15.0 6.6522E-02
1.5849E+01 0.95 15.0 4.7084E-02
1.7783E+01 0.95 15.0 3.3350E-02
1.9953E+01 0.95 15.0 2.3693E-02
2.2387E+01 0.95 15.0 1.6644E-02
2.5119E+01 0.95 15.0 1.1614E-02
2.8184E+01 0.95 15.0 8.2302E-03
3.1623E+01 0.95 15.0 5.8239E-03
3.5481E+01 0.95 15.0 4.1033E-03
3.9811E+01 0.95 15.0 2.8838E-03
4.4668E+01 0.95 15.0 2.0308E-03
5.0119E+01 0.95 15.0 1.4311E-03
5.6234E+01 0.95 15.0 9.9987E-04
6.3096E+01 0.95 15.0 6.9558E-04
7.0795E+01 0.95 15.0 4.8505E-04
7.9433E+01 0.95 15.0 3.3939E-04
8.9125E+01 0.95 15.0 2.3628E-04
1.0000E+02 0.95 15.0 1.6553E-04
1.1220E+02 0.95 15.0 1.1461E-04
1.2589E+02 0.95 15.0 7.9501E-05
1.4125E+02 0.95 15.0 5.5082E-05
1.5849E+02 0.95 15.0 3.8180E-05
1.7783E+02 0.95 15.0 2.6495E-05
1.9953E+02 0.95 15.0 1.8522E-05
2.2387E+02 0.95 15.0 1.2926E-05
2.5119E+02 0.95 15.0 8.8251E-06
2.8184E+02 0.95 15.0 6.0055E-06
