# exampleflux nue
# coszen 0.02  0.17  0.34  0.50  0.64  0.77  0.87  0.94  0.98  1.00
# E [GeV] (0.02 data, spline)  (0.17 data, spline)  (0.34 data, spline)  (0.50 data, spline)  (0.64 data, spline)  (0.77 data, spline)  (0.87 data, spline)  (0.94 data, spline)  (0.98 data, spline)  (1.00 data, spline)
8.9125e-02 1.1706e-01 1.1720e-01 1.1520e-01 1.1501e-01 1.1229e-01 1.1220e-01 1.0911e-01 1.0917e-01 1.0591e-01 1.0613e-01 1.0299e-01 1.0329e-01 1.0058e-01 1.0087e-01 9.8800e-02 9.9014e-02 9.7696e-02 9.7853e-02 9.7320e-02 9.7458e-02
1.1220e-01 9.4783e-02 9.5065e-02 9.3342e-02 9.3221e-02 9.0995e-02 9.0827e-02 8.8314e-02 8.8230e-02 8.5583e-02 8.5617e-02 8.3077e-02 8.3179e-02 8.1002e-02 8.1091e-02 7.9480e-02 7.9494e-02 7.8535e-02 7.8495e-02 7.8213e-02 7.8155e-02
1.4125e-01 7.4663e-02 7.4838e-02 7.3563e-02 7.3431e-02 7.1683e-02 7.1522e-02 6.9445e-02 6.9389e-02 6.7140e-02 6.7205e-02 6.5023e-02 6.5145e-02 6.3274e-02 6.3368e-02 6.1995e-02 6.2004e-02 6.1202e-02 6.1148e-02 6.0931e-02 6.0856e-02
1.7783e-01 5.7162e-02 5.7317e-02 5.6347e-02 5.6231e-02 5.4865e-02 5.4708e-02 5.3022e-02 5.2974e-02 5.1108e-02 5.1179e-02 4.9354e-02 4.9474e-02 4.7910e-02 4.7999e-02 4.6859e-02 4.6866e-02 4.6208e-02 4.6154e-02 4.5986e-02 4.5911e-02
2.2387e-01 4.2603e-02 4.2745e-02 4.2028e-02 4.1921e-02 4.0879e-02 4.0725e-02 3.9379e-02 3.9338e-02 3.7815e-02 3.7888e-02 3.6389e-02 3.6505e-02 3.5223e-02 3.5305e-02 3.4378e-02 3.4383e-02 3.3856e-02 3.3804e-02 3.3678e-02 3.3606e-02
2.8184e-01 3.1079e-02 3.1216e-02 3.0692e-02 3.0587e-02 2.9801e-02 2.9651e-02 2.8583e-02 2.8550e-02 2.7319e-02 2.7392e-02 2.6176e-02 2.6285e-02 2.5250e-02 2.5325e-02 2.4584e-02 2.4588e-02 2.4174e-02 2.4125e-02 2.4034e-02 2.3967e-02
3.5481e-01 2.2369e-02 2.2503e-02 2.2108e-02 2.2000e-02 2.1392e-02 2.1250e-02 2.0394e-02 2.0369e-02 1.9374e-02 1.9446e-02 1.8467e-02 1.8567e-02 1.7742e-02 1.7808e-02 1.7224e-02 1.7227e-02 1.6907e-02 1.6863e-02 1.6800e-02 1.6739e-02
4.4668e-01 1.5966e-02 1.6096e-02 1.5773e-02 1.5662e-02 1.5167e-02 1.5037e-02 1.4338e-02 1.4322e-02 1.3517e-02 1.3584e-02 1.2804e-02 1.2891e-02 1.2243e-02 1.2299e-02 1.1848e-02 1.1848e-02 1.1607e-02 1.1568e-02 1.1525e-02 1.1473e-02
5.6234e-01 1.1286e-02 1.1407e-02 1.1123e-02 1.1012e-02 1.0591e-02 1.0479e-02 9.9024e-03 9.8949e-03 9.2497e-03 9.3098e-03 8.6995e-03 8.7716e-03 8.2746e-03 8.3187e-03 7.9785e-03 7.9783e-03 7.7997e-03 7.7680e-03 7.7396e-03 7.6970e-03
7.0795e-01 7.8588e-03 7.9667e-03 7.7094e-03 7.6049e-03 7.2419e-03 7.1521e-03 6.6816e-03 6.6804e-03 6.1756e-03 6.2256e-03 5.7622e-03 5.8184e-03 5.4496e-03 5.4825e-03 5.2346e-03 5.2337e-03 5.1058e-03 5.0813e-03 5.0627e-03 5.0300e-03
8.9125e-01 5.3629e-03 5.4540e-03 5.2222e-03 5.1302e-03 4.8215e-03 4.7537e-03 4.3802e-03 4.3829e-03 4.0013e-03 4.0401e-03 3.7017e-03 3.7426e-03 3.4797e-03 3.5028e-03 3.3292e-03 3.3280e-03 3.2399e-03 3.2221e-03 3.2101e-03 3.1866e-03
1.1220e+00 3.5667e-03 3.6391e-03 3.4365e-03 3.3610e-03 3.1066e-03 3.0590e-03 2.7735e-03 2.7781e-03 2.5018e-03 2.5297e-03 2.2936e-03 2.3214e-03 2.1426e-03 2.1576e-03 2.0416e-03 2.0403e-03 1.9821e-03 1.9701e-03 1.9623e-03 1.9467e-03
1.4125e+00 2.2968e-03 2.3506e-03 2.1815e-03 2.1239e-03 1.9238e-03 1.8930e-03 1.6851e-03 1.6899e-03 1.4997e-03 1.5183e-03 1.3619e-03 1.3794e-03 1.2641e-03 1.2731e-03 1.1995e-03 1.1984e-03 1.1617e-03 1.1542e-03 1.1492e-03 1.1396e-03
1.7783e+00 1.4238e-03 1.4611e-03 1.3278e-03 1.2871e-03 1.1384e-03 1.1201e-03 9.7698e-04 9.8106e-04 8.5728e-04 8.6869e-04 7.7095e-04 7.8100e-04 7.1079e-04 7.1573e-04 6.7158e-04 6.7080e-04 6.4886e-04 6.4454e-04 6.4137e-04 6.3590e-04
2.2387e+00 8.4942e-04 8.7358e-04 7.7443e-04 7.4779e-04 6.4355e-04 6.3364e-04 5.4042e-04 5.4343e-04 4.6728e-04 4.7373e-04 4.1597e-04 4.2129e-04 3.8088e-04 3.8335e-04 3.5830e-04 3.5777e-04 3.4530e-04 3.4301e-04 3.4102e-04 3.3819e-04
2.8184e+00 4.9110e-04 5.0576e-04 4.3552e-04 4.1920e-04 3.4973e-04 3.4485e-04 2.8705e-04 2.8905e-04 2.4443e-04 2.4780e-04 2.1532e-04 2.1789e-04 1.9576e-04 1.9687e-04 1.8332e-04 1.8299e-04 1.7621e-04 1.7510e-04 1.7388e-04 1.7254e-04
3.5481e+00 2.7784e-04 2.8623e-04 2.3830e-04 2.2889e-04 1.8440e-04 1.8226e-04 1.4779e-04 1.4902e-04 1.2388e-04 1.2551e-04 1.0795e-04 1.0908e-04 9.7437e-05 9.7873e-05 9.0829e-05 9.0636e-05 8.7073e-05 8.6583e-05 8.5846e-05 8.5278e-05
